PageCommentNumber,date,author,text
35,2004-04-08T18:22:26+00:00,seminole_kev,"I dunno. That 300c (specifically the ""c"" version with the V8) intriques me. I might, in a year or two, get a new car and I'm mulling the idea of a big cruiser that might still be a little fun. The 300c is the only version of the 300 I'd be interested in. So I'm hoping they have a bunch of loaded c's in stock (ok minus the sunroof) in dark blue ;-)

Actually, I'd probably just order it from the factory.

it's weird, but there's something about the 300c that draws me too it. Can't quite figure it out. I'll have to go drive it to see if I might get one, or hate its size enough not to be tempted by it."
36,2004-04-08T18:30:57+00:00,andre1969,"the 300C intrigues me too! When I made a reference to the Volare/K-car/Pacifica though, what I meant was that they still seem to be repeating their old habits of only offering fully loaded-up models at first, which tends to hurt sales. They made that mistake with the Volare in '76, and almost botched the launch of the K-car by only offering loaded models to begin with, and did the same thing with the Pacifica.

I agree though, that the Hemi C is probably the only model I'd be interested in, but I'm also not ready to pay $30K+ for car yet! My Intrepid came out to about $22.3K out the door, and looking back, sometimes I wish I hadn't spent that much, and just got a used one instead.

With a 3.5, the 300 might not be TOO bad, but this car just screams out for the Hemi! And I think I have a rough idea of about how a 300 with the 2.7 will peform. Probably about the same as my Intrepid with 4 people on board and a trunk full of luggage. Umm, no thanks!"
37,2004-04-08T18:39:25+00:00,seminole_kev,"oddly enough I had a talk with the wife over breakfast this morning about a...(ahem) hypothetical situation if I was to buy a new car in a year or so about how much she'd be comfortable with me spending. (Hey she runs the checkbook and does a hell of a lot better job than I can/did!). Specifically targeting the 300c optioned out the way I want (approx $35,000 MSRP). Well she didn't have a problem with that. So woo hoo.

Then she turned around and said ""This isn't about that Chrysler you've been looking at is it!?!?! No! No way you're spending that much money on a Chrysler! A Chrysler?!?!?"" She then proceded to rattle off a few ""suggestions"" as to what other cars I should look at in that price range ;-)

I'm going to look around at quite a wide range of cars, but I'm going to give the 300c a fair shake. I think she has a little issue with the Chrysler name though ;-)

*To be fair, she works for a law firm that handles bankruptcies for DaimlerChrysler, so I think she's also burnt out on the name."
38,2004-04-08T19:57:42+00:00,ghulet,"I worked at JDRP for ten years, I don't regret my move from law firm slave to bartender one bit!"
39,2004-04-08T20:12:19+00:00,lemko,"...turns out to be all that, I might consider one as a cost-effective alternative to a new STS. The only problem is, I'm happy with Cadillac and Cadillac service in general. I've only owned one Chrysler vehicle - a 1985 Chrysler Fifth Avenue - and it turned out to be one of the best I've ever owned. However, the one experience I had with Chrysler service was awful. I needed a new wheel lock wrench and the surly guy behind the counter gave me a response as if I just told him I slept with his wife. Fortunately, this dealer was bought out by somebody else so maybe things have changed."
40,2004-04-09T01:42:31+00:00,andys120,"Automobile sez the 300C comes with a 3.5 V6
and is only 2.5 sec slower to 60 than the V8 which puts it in the mid 7s.

I'm anxious to see one of those."
41,2004-04-09T12:11:35+00:00,andre1969,"yeah, I just read my issue of Motortrend last nite, and in addition to the 300C with the Hemi, which gave 0-60 in 5.3 seconds, they also tested a Magnum wagon with the 3.5, and got 0-60 in 7.5 seconds.

I think that's actually pretty impressive, considering that with the 300M/LHS/Intrepid R/T, lighter cars using the same engine, 0-60 was more like 7.8-8 seconds or so. In the RWD Magnum and 300 though, the 3.5 uses the same 4-speed automatic as the Jeep Wrangler and the V-6 Dakota/Durango. Maybe the RWD tranny is just more effective at putting the power to the wheels? I've heard that with the FWD tranny, they designed it so that it doesn't make the most use of the engine's power...if they did it would shred it!

I think the 3.5 now also has a revised intake that gives it a broader torque curve, so that might help, too. The 3.5 (and 2.7 and 3.2) in the LH cars tended to be pretty ""peaky"" when it came to power."
42,2004-04-09T15:52:55+00:00,vikd,"...at the Chrysler dealership. It was the Limited with the 250 horse 3.5. I asked my salesman why it was sitting in the corner of the lot, he replied that it was sold within 3
hours of it's arrival!

I really like the vehicle after having walked around it a few times. The doors were open and I was allowed to sit in it. The rear seat accomodations are more than adequate for even someone my size. The overall feel of the vehicle is muscular and purposeful. The salesmen milling around kept referring to it as the ""Chrysler Bentley"". This may be a turn off to some but I can appreciate the departure from the same old-same old that the vehicle represents. The interior is also very nice with most surfaces feeling of high quality and soft to the touch. The steering wheel has a thick solid feel to it along the lines of say, an M5 and the like.

This Limited stickered at around 33k with a 2995 adm tacked on.

Regards... Vikd"
43,2004-04-09T16:08:51+00:00,andre1969,"looks like I might have to go 300 hunting this weekend. I don't plan on bagging anything on this little safari (I'll make sure to leave the checkbook at home, but hell, they take credit cards nowadays!), but I'd like to at least give the car a test-sit and if I'm lucky, a test drive!"
44,2004-04-09T16:12:50+00:00,andys120,
45,2004-04-09T16:27:21+00:00,wimsey1,"Heres a thought for Chrysler, Give it a manual trans. and some suspension work and under cut the CTS-V with a special model. It's only a few ticks away on acceleration with the auto trans and I think AMG could make it handle even better than it does now.
For all my snarling at the 300's styling I think it could turn out to be a winner for Chrysler. America likes BIG."
46,2004-04-09T17:20:03+00:00,vikd,"...I agree. Though it is far too early to make any predictions, the fact that the few 300's that have hit dealer lots are being snatched up so quick is a good start. My salesman at the Chry shop said that the only reason the Limited wasn't delivered yet is because they are waiting for premier night to do it ""in style"".

Regards... Vikd"
47,2004-04-09T20:46:01+00:00,andys120,"coming at me, but didn't get a good look cuz it was going in opposite direction, it was either
a DB7 or a Vanquish.

It looked sleek, low and very fast with nothing boy-racer about it, just the way I like cars."
48,2004-04-10T16:35:17+00:00,wimsey1,Amen! Looking at an Asotn is always a good experience.
49,2004-04-10T19:12:57+00:00,seminole_kev,"Just looked at a Chrysler 300 today (only had the base model which is not what I'm looking for). Since it wasn't the ""C"" version, I didn't bother driving it, but the car looks well put together and thought out. Salesman really turned me off though. Hopefully this was just a bad salesman, but wasn't a good start for Chrylser trying to change my image of them.

Looking forward to giving the 300c a whirl."
0,2004-04-11T03:12:32+00:00,andre1969,"but I sat in two 300's today. I hadn't planned on it originally...I was supposed to do some stuff around the house, but one of my buddies asked me if I wanted to ride with him to the dealer to buy a new headlight assembly for his '95 Grand Marquis.

I said what the hey, and rode with him out to the dealer in Annapolis. Well, I knew there was a Chrysler dealer nearby somewhere, so I said let's go see if we can find it, and see if they got the new 300's in.

It didn't take long to find the dealer, and as he pulled in, I spotted a silver one. What I did next kind of embarrassed my buddy, and I dunno if he's ever going to go car shopping with me again! I just pointed at it, and like a little kid, shouted ""MINE!!""

My friend, who's a high school teacher, made some kind of comment about my juvenile behavior, but I was out the door before he even stopped the car! Just to get on his nerves, I think I even blurted out ""MINE"" a few more times!

Anyway, this one was just a base model, with the 2.7. I think it stickered for around $24,500. It was silver with kind of a charcoal-ish interior. The salesguy let me sit behind the wheel and try everything out. Finally, I was able to lay all my fears about legroom to rest. Previously I'd been a bit worried because the specs rate these cars at around 41.8"", whereas the outgoing Intrepid/Concorde/300M are 42.2"". Might not sound like a big deal, but I wish my 'Trep had more legroom! So I was afraid these things would simply be too small for me. Thankfully, this was not the case. I was able to get the seat into a position that was perfect for me. In fact, it was so far back that the steering wheel was out of my reach! And I have long arms, so that's really saying something!

It does have a tilt-telescope feature, but in base models it's activated by a clunky lever that feels like it could get stuck or break. The 300C has power controls. The tranny hump does take a pretty big bite out of the footwell area...much more than the older RWD Mopars like my '89 Gran Fury or '79 New Yorker, but it was still good enough for my needs. Also, they may say that ""Cab Forward"" is dead, but the base of this car's windshield was at least as far away from me as my Intrepid's.

Admittedly, the interior is a bit cheap. Lots of hard plastic. In comparison, my Intrepid, with cloth and carpeting inserts on the door panel almost seems like a luxury car in comparison. There's no carpeting on the door panels (although I think they also dropped that from the Intrepid in 2002), and the carpeting on the floor is a really cheap grade, probably about on par with what's in my roommate's '98 Tracker. The seats were also made out of this weird cloth that made me think of outdoor furniture, or maybe what would be in a Jeep.

In the back, with the front seat set to where I'm comfortable, I could fit back there, but truthfully I think my Intrepid is more comfortable. The center spot in the 300 is also almost unusable, at least to my way of thinking. The driveshaft hump isn't a problem. In fact, while the tranny hump up front seemed pretty big, in comparison to RWD Mopars of years gone by, the driveshaft hump in back was pretty small. But the center spot is still poorly padded, and feels like it's raised up a bit, and the pull-down armrest really digs into my back.

The trunk's rated at 15.6 cubic feet, and has the spare tire stored underneath, like most FWD cars...or a Dart! It's not bad, but down considerably from the Intrepid's 18.4 (the Concorde is 18.8). But the seatbacks do fold down, to improve versatility. And the hinges are the strut-mount type, so you don't have those ""gooseneck"" hinges to mess with your luggage. The battery's in the trunk too, in the well with the tire. Much easier to get to than the LH cars, where it's buried in front of the right-side front wheel well, under the air filter.

Under the hood, the 2.7 looks like it's a bit more serviceable than it does under the hood of my Intrepid. When my Intrepid needed new belts, I didn't even attempt to tackle it myself...it was such a tight squeeze that I knew I'd end up with bruised knuckles and a bad attitude, and probably end up sending it to the repair shop anyway. With the 300 though, I might actually have the guts to tackle that job! Changing the oil might be a pain, though. I couldn't find the oil filter, but if it's in the same place that it is on my '00 Intrepid, then on this car, it looks like there's a big plastic cover you have to take off of the bottom of the car. It was most likely put there to improve aerodynamics.

While I was looking at this silver base model, the other 300 they had, a Magnesium 300C Hemi, came back from the test drive. It was pretty well loaded, with a sunroof. Nicer carpet...better than a Tracker, and about on par with my Intrepid. More chrome accents and the fake tortoise shell (I love reptiles though, so if it was made of the real thing I'd boycott it!), and leather really dressed up the interior.

I've been able to find a lot of nitpicks with the 300, but dammit, I want one!!

Oh yeah, they also had some Pacificas, and I finally got to sit behind the wheel of one, and adjust the seat to where I'm comfortable. At the auto show, they yank the battery cables, so you can't adjust the power seats. I was able to get comfortable in it. I kinda like 'em, but all of a sudden, I do have a lusting for a 300C! The Magnesium example they had, though, stickered for about $35,000. They are currently offering a $1000 rebate for current Mopar owners, but I think I'm going to wait for the 0.9% financing +4,000 cash back! ;-) Or just wait till they start hitting the used car market. I learned, first-hand, with my Intrepid how fast a new car can depreciate. I dunno if I want to go through that again!

But still, the only thing that's going through my mind is ""MINE!!"""
1,2004-04-11T04:01:18+00:00,seminole_kev,"Did you ask them if they'd have a New Yorker version done up for you with cushy, button-pillow red velour seats and a vinyl roof? ;-)"
2,2004-04-11T04:24:49+00:00,player4,"Just saw the 2005 Chevrolet Equinox at the Chevrolet Dealer and it was silver with the 17"" wheels, it looked real nice, i saw one too at the Local Auto Show in my area and the car is very nice but the front is a little akward. Also saw the 2005 Chrysler PT Cruiser Convertible on the road."
3,2004-04-14T00:25:21+00:00,JPham,A Skyline from the rear ... looks exactly like a G35.
4,2004-04-14T00:33:47+00:00,andre1969,"almost forgot, they did have a PT Cruiser 'vert on the showroom floor at that Chrysler dealer I stopped off at on Saturday. Nobody was paying attention to it though, because of the 300's, I guess!

They also had a Viper, for only $80K, and a Crossfire."
5,2004-04-14T02:59:57+00:00,grbeck,"Tonight I saw my first Cadillac XLR on the road. The roads were wet because of the downpours we've had all day, and it was dark, but I could still tell that it was an XLR. Between the darkness, the wet roads and dark color of the car, the scene looked like something straight out of an advertisement. The car really stood out, with the taillights looking especially distinctive."
6,2004-04-14T17:06:32+00:00,wimsey1,Local Pontiac dealer has had a GTO on the floor for a few weeks now.
7,2004-04-14T23:52:09+00:00,PF_Flyer,"Came across a Chrysler Crossfire in a school parking lot today. Interesting looking beast. Certainly stood out from the vehicles around it. Haven't quite made my mind up about liking the looks or not... perhaps I'll see it in motion one of these days!

PF Flyer
Host
Pickups & News & Views Message Boards"
8,2004-04-17T15:54:36+00:00,andys120,"...I wasn't impressed. It's awkward looking from behind, certainly not on a par with the other 3ers in looks."
9,2004-04-17T18:13:35+00:00,orangelebaron,"I saw TWO silver 300's within minutes of each other in Laurelton, Queens on Thursday. The driver's were both woman and I thought it was the same woman at first!

Driving behind it on the parkway... I felt like I was driving behind a car... you know a REAL car like from the day?"
10,2004-04-17T18:22:28+00:00,setzer,"SSR, Malibu, Mazda3, Pathfinder Armada, Camry Solara- haven't seen the convertible yet , GTO, Durango, Titan, Pacifica (I don't think that counts anymore), 350Z, can't remember what else. I think that's a pretty good list for being in a suburb of Portland."
11,2004-04-17T18:30:45+00:00,player4,The 2004.5 Volvo S40 yesterday at a stop light it was silver with the T5 package it had the 17 inch wheels it was awesome!!!
12,2004-04-19T16:27:12+00:00,kenjabi,"I saw a new Chrysler 300, I think it was a dark gray (it was night). The front looks ok in person, better than my first impression in pictures, and I like the overall look of the car.

Also saw a black Solara convertible. It definitely looks better than the coupe.

Also saw an orange xB, which looked like it was being test driven, with window sticker and temp plate on it. I didn't like the color, plus the car had no rims! It looked like it was running on four spares. They don't even have factory wheels?"
13,2004-04-19T16:49:53+00:00,andre1969,"Came up behind it at a traffic light, with my Silverado. Tiny little thing...looks like a toy."
14,2004-04-19T19:49:32+00:00,wimsey1,I saw a Mazda 6 yesterday and am pretty sure it was the new hatchback model.
15,2004-04-19T19:52:38+00:00,seminole_kev,but I saw my first 300C this weekend. Test drove it as well ;-)
16,2004-04-20T18:00:23+00:00,kenjabi,"You reminded me that I also saw a Mazda 6 station wagon in front of a department store in a local strip mall the other day. It was on the ""lawn"" of the store, must have been part of some kind of give-away. Didn't get a great look at it (I was finding a parking space), but my fiancee did and she seemed to like it."
17,2004-04-20T18:26:47+00:00,andre1969,"a Malibu Maxx yesterday, as I was leaving work. It was black. Now I know these aren't small cars, but something about the styling just makes them look tiny."
18,2004-04-21T16:43:09+00:00,vikd,"...we test drove a Maxx a couple weeks back. Although they have nice and roomy rear seat accomodations, the trunk space IS very tiny. Overall, it's just too small a vehicle for our needs.

Regards... Vikd"
19,2004-04-21T16:48:56+00:00,lemko,...just bought a new silver Kia Amanti.
20,2004-04-21T17:17:37+00:00,andre1969,"one thing I noticed about the Maxx too, when I sat in one at the auto show, is the back seat just didn't feel very comfortable. It was roomier than the seat in the sedan, but just not as comfortable.

Somebody mentioned awhile back on Edmund's that the Maxx reminds them of the old '83-86 Camry hatchback. I can really see that resemblance, except I think the Camry pulled it off a bit better.

Still, it's...interesting!"
21,2004-04-21T20:10:00+00:00,vikd,"...even though the rear seats recline, it still felt like sitting on a bench seat or something similar; not much support anywhere. Also, the fact that I can't even get my golf clubs in the trunk without foliding down one side of the rear seats crossed it off the list for us. The trunk is truly tiny; the tricky PT Cruiser-like tray only serves smaller applications. I will say that the Maxx was fairly enjoyable to drive...

Regards... Vikd"
22,2004-04-21T20:34:17+00:00,wimsey1,"There is one of those Camry hatchs up my street and I would have to agree, the Maxx really resembles it but the Camry is better proportioned. Maybe I was the one who commented on it, I don't remember.
The rear seat comments jibe well with my experience at the auto show, funny, I never did look at the trunk. I guess you don't get something for nothing."
23,2004-04-21T20:36:37+00:00,wimsey1,Have you driven a Mazda 6 hatch or wagon? I know the sedan is great handling. Anyone know if the 6 wagon can be had with the manual trans?
24,2004-04-21T22:59:59+00:00,vikd,"...have not driven the hatch or wagon, but I did drive the sedan version in base form. Even in base 6i trim, the vehicle was very enjoyable to drive. Relatively peppy 4 cyl and handled and cornered excellently. Rear seat accomodations are still not what we would like. Perhaps that is addressed with either the hatch or wagon versions; havent seen either in person as of yet.

Regards... Vikd"
25,2004-04-22T15:10:45+00:00,andre1969,"this is, but this morning I saw a Mitsubishi Lancer station wagon. It looked kinda like an '82 Cavalier wagon with an upside-down Pontiac grille put on. I didn't even know they made a wagon version of the Lancer...shows ya how much I pay attention to them!

Vikd, let us know how the 6 hatch and/or wagon feel, in comparison to the sedan. In the past, I've notice that wagons are actually usually a bit tighter in the back seat than sedans. Like maybe they move the seat up just a bit for a bigger load area? Or maybe the fact that the seat now has to fold down has something to do with it?"
26,2004-04-22T17:48:41+00:00,stickguy,"feels roomier in the back seat than the sedan, because of increased headroom (otherwise seems the same). The hatch IMO loses a little headroom.

The 6 does come with a stick. The only engine is the V6 though."
27,2004-04-22T18:17:29+00:00,carguy58,"2 more Mazda 3's yesterday. Seen about 4-6 more Acura TL's since Saturday(boy that car is moving lots in a hurry.)

Saw my 5th Chrysler Crossfire on Sunday. It was white.

Oh yeah seen about 13-17 Mazda RX-8's so far since their debut. Not alot of them around.

04 Mitsu Galant where are you?

Finally saw a Pontiac GTO that was sold and not in a dealers lot. THe GTO was parked in a parking lot that I was going by yesterday. It was silver."
28,2004-04-22T18:39:45+00:00,revdrluv,"Here in LA I see everything... and I mean everything. (For example I saw an Renault 5 GT Turbo the other day)

Yesterday though I swear I saw two Audi A3s. The first was a black four-door that I would have written of as an A4 Avant if I didn't see the black two-door hatch following right behind it. I heard that we are only getting the four-door version, but could this be a hint that the rumors are wrong?"
29,2004-04-22T20:57:44+00:00,andys120,FIVE door A3s only for NA.
30,2004-04-22T21:42:10+00:00,vikd,"...out to lunch today, I saw a copper-colored Caddy CTS with a brown Landau roof, Vogue tires wrapped around gold wire wheels...! Some people cant let the ""old"" Caddy die I guess...

Regards... Vikd
who found it hard to keep down the Quiznos sub he just had for lunch... ;-<"
31,2004-04-22T22:52:51+00:00,player4,"This morning i saw the 2004 Mitsubishi Galant GTS it was dark so the lights were on and since it had the Clear and Chrome oval insert Taillights it looked real nice, the car was white, the first one i see in town!! Also seen about 3 2004 Mitsubishi Endeavor's around."
32,2004-04-23T02:34:42+00:00,fintail,"There's a 3 door A3 that someone in my town shipped over from Germany. I am sure that was a nightmare, but it's a neat little car

There's a new Galant where I work. I am not blown away by it."
33,2004-04-23T04:39:45+00:00,wimsey1,"Please say it was a joke!
Wow, that must have been nasty, I certainly hope those were not factory options."
34,2004-04-23T15:48:27+00:00,wale_bate1,"Post like that again, and we're revoking your charter!

EEEWWWWW!

BTW, no, you can't get that crud from Caddy, you have to actually find someplace to get it..."
35,2004-04-23T16:14:34+00:00,andre1969,"that little Lancer wagon again at work this morning. Followed it in. It's actually not a bad looking little car. Nothing groundbreaking in terms of pushing the envelope, shifting the paradigm, or making it an order of magnitude or two greater, but still, not a bad looking little car.

Y'know, I don't think I've seen an RX-8 yet, except at the auto show. I've seen a new Galant or two...haven't made up my final opinion on it yet. It looks smaller in person though, than it does in the pics."
36,2004-04-23T16:17:56+00:00,lemko,...a Hyundai XG350L. Does the new KIA Amanti use the same platform? The Amanti seems slightly longer.
37,2004-04-23T16:34:21+00:00,vikd,"...joking. I have no idea if those are Caddy/dealer installed options (I'll take wale's word for it that they are NOT) but both the Landau roof AND the gold wire wheels did have the Crest and Wreath adorning them...?

fintail/andre -- saw three '04 Galant's this morning parked side-by-side about three inches from each other in a Thrifty rental car lot...NOT a good start!

Regards... Vikd"
38,2004-04-23T16:41:19+00:00,andre1969,"I think the Amanti is a completely different platform. IIRC, the XG350 is essentially a slightly larger Sonata. The Amanti is a porker, though, weighing about as much as a Lincoln Town Car!"
